"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,"Total
Threads","Total
Memory (GB)","ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle","Result
(Overall ssj_ops/watt)"
Acer Incorporated,"Gateway GW2000h-GW175h F1
Gateway GW2000h
Nov 10, 2010 | HTML | Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,"3,720,023","1,111",284,"2,481"
Acer Incorporated,"Acer AW2000h-AW175h F1
Acer AW2000h
Nov 10, 2010 | HTML | Text",4,IBM Corporation,AMD Opteron 6174,2200,8,96,96,64,"3,724,716","1,113",284,"2,474"
Acer Incorporated,"Acer AR385 F1 (AMD Opteron 6174, 2.20 GHz)
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"935,214",273,86.7,"2,424"
Acer Incorporated,"Gateway GR385 F1 (AMD Opteron 6174, 2.20 GHz)
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"932,415",273,86.5,"2,426"
Acer Incorporated,"Acer AR585 F1
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,"1,812,580",518,143,"2,562"
Acer Incorporated,"Gateway GR585 F1
Nov 18, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,"1,808,578",518,142,"2,555"
Acer Incorporated,"Acer AR320 F1 (Intel Xeon X3470, 2.93 GHz)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,"308,318",124,39.6,"1,911"
Acer Incorporated,"Gateway GR320 F1 (Intel Xeon X3470, 2.93 GHz)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,"312,716",125,39.6,"1,932"
Acer Incorporated,"Gateway GT310 F1 (Intel Xeon X3470, 2.93 GHz)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,"313,001",127,34.6,"1,987"
Acer Incorporated,"Acer AR180 F1(Intel Xeon X5670, 2.93 GHz)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"897,310",265,76.4,"2,485"
Acer Incorporated,"Gateway GR180 F1(Intel Xeon X5670, 2.93 GHz)
Dec 1, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"896,101",265,76.5,"2,484"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"AT310 F1
Feb 17, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon X3470,2933,1,4,8,8,"309,401",125,35.4,"2,004"
Acer Incorporated,"Gateway GW2000h-GW170h F1
Gateway GW2000h
Mar 23, 2011 | HTML | Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,48,"3,567,236","1,025",270,"2,659"
Acer Incorporated,"Gateway GW2000h-GW170h F1
Gateway GW2000h
Mar 23, 2011 | HTML | Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,96,"3,732,850","1,014",269,"2,795"
Acer Incorporated,"Acer AW2000h-AW170h F1
Acer AW2000h
Apr 7, 2011 | HTML | Text",4,IBM Corporation,Intel Xeon X5675,3067,8,48,96,96,"3,719,937","1,016",282,"2,769"
Acer Incorporated,"Gateway GR585 F1
May 4, 2011 | HTML | Text",1,IBM Corporation,AMD Opteron 6168,1900,4,48,48,32,"1,664,712",524,192,"2,210"
Acer Incorporated,"Gateway GR585 F1
May 4, 2011 | HTML | Text",1,IBM Corporation,AMD Opteron 6176,2300,4,48,48,32,"1,861,672",571,185,"2,350"
Acer Incorporated,"Gateway GR385 F1
May 5, 2011 | HTML | Text",1,IBM Corporation,AMD Opteron 6176,2300,2,24,24,16,"959,188",295,97.3,"2,291"
Acer Incorporated,"Gateway GT350 F1
May 11, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon X5675,3067,2,12,24,12,"900,626",264,79.5,"2,462"
Acer Incorporated,"Gateway GT110 F2 (Intel Xeon E3-1270)
May 18, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon E3-1270,3400,1,4,8,8,"395,190",102,21.4,"3,270"
Acer Incorporated,"Acer AT110 F2 (Intel Xeon E3-1270)
May 18, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon E3-1270,3400,1,4,8,8,"393,522",102,21.3,"3,260"
Acer Incorporated,"Acer AC100
Sep 13, 2011 | HTML | Text",1,IBM Corporation,Intel Xeon E3-1260L,2400,1,4,8,8,"295,443",58,21.5,"3,741"
Acer Incorporated,"Acer AR585 F1
Mar 14, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6238,2600,4,48,48,64,"1,898,162",559,127,"2,552"
Acer Incorporated,"Acer AR385 F1
Mar 14, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6238,2600,2,24,24,32,"987,946",290,89.8,"2,506"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"Acer AR385 F1
Apr 4, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6276,2300,2,32,32,32,"1,183,480",307,94.9,"2,812"
Acer Incorporated,"Acer AR585 F1
Jun 5, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,64,"2,205,974",588,130,"2,803"
Acer Incorporated,"Acer AR585 F1
Jun 14, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,256,"2,220,373",779,187,"2,076"
Acer Incorporated,"Acer AR585 F1
Jun 14, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6276,2300,4,64,64,256,"2,228,464",713,177,"2,284"
Acer Incorporated,"Acer AR585 F1
Jun 21, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,64,"2,307,328",584,127,"2,969"
Acer Incorporated,"Acer AR585 F1
Jun 21, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,256,"2,299,931",786,186,"2,136"
